"rbd";"id_subdimension";"agno";"id_indicador";"id_dimension";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"codigo_bbdd";"fecha_bbdd";"grado"
32;331;2025;3;33;;;;16;38;47;v12025;20260423;2m
32;411;2025;4;41;;;;9;38;53;v12025;20260423;2m
32;412;2025;4;41;;;;24;;76;v12025;20260423;2m
32;421;2025;4;42;;;;9;38;53;v12025;20260423;2m
32;422;2025;4;42;;;;33;;67;v12025;20260423;2m
32;431;2025;4;43;;;;2;53;44;v12025;20260423;2m
32;432;2025;4;43;;;;7;;93;v12025;20260423;2m
45;111;2025;1;11;;;;28;38;33;v12025;20260423;2m
45;112;2025;1;11;;;;12;20;68;v12025;20260423;2m
45;121;2025;1;12;;;;33;62;5;v12025;20260423;2m
45;122;2025;1;12;;;;37;;63;v12025;20260423;2m
45;211;2025;2;21;;;;25;57;18;v12025;20260423;2m
45;212;2025;2;21;;;;12;37;52;v12025;20260423;2m
45;221;2025;2;22;;;;38;47;15;v12025;20260423;2m
45;222;2025;2;22;;;;45;;55;v12025;20260423;2m
45;231;2025;2;23;;;;2;40;58;v12025;20260423;2m
45;232;2025;2;23;;;;70;;30;v12025;20260423;2m
45;311;2025;3;31;;;;85;3;12;v12025;20260423;2m
45;312;2025;3;31;;;;65;18;17;v12025;20260423;2m
45;321;2025;3;32;;;;32;27;42;v12025;20260423;2m
45;322;2025;3;32;;;;10;33;57;v12025;20260423;2m
45;323;2025;3;32;;;;35;17;48;v12025;20260423;2m
45;331;2025;3;33;;;;23;47;30;v12025;20260423;2m
45;411;2025;4;41;;;;20;32;48;v12025;20260423;2m
45;412;2025;4;41;;;;42;;58;v12025;20260423;2m
45;421;2025;4;42;;;;3;50;47;v12025;20260423;2m
45;422;2025;4;42;;;;47;;53;v12025;20260423;2m
45;431;2025;4;43;;;;10;63;27;v12025;20260423;2m
45;432;2025;4;43;;;;15;;85;v12025;20260423;2m
50;111;2025;1;11;;;;27;46;27;v12025;20260423;2m
50;112;2025;1;11;;;;14;51;35;v12025;20260423;2m
50;121;2025;1;12;;;;43;49;8;v12025;20260423;2m
50;122;2025;1;12;;;;65;;35;v12025;20260423;2m
50;211;2025;2;21;;;;35;51;14;v12025;20260423;2m
50;212;2025;2;21;;;;16;46;38;v12025;20260423;2m
50;221;2025;2;22;;;;54;43;3;v12025;20260423;2m
50;222;2025;2;22;;;;70;;30;v12025;20260423;2m
50;231;2025;2;23;;;;19;41;41;v12025;20260423;2m
50;232;2025;2;23;;;;78;;22;v12025;20260423;2m
50;311;2025;3;31;;;;81;5;14;v12025;20260423;2m
50;312;2025;3;31;;;;68;11;22;v12025;20260423;2m
50;321;2025;3;32;;;;41;24;35;v12025;20260423;2m
50;322;2025;3;32;;;;16;49;35;v12025;20260423;2m
50;323;2025;3;32;;;;51;16;32;v12025;20260423;2m
50;331;2025;3;33;;;;32;41;27;v12025;20260423;2m
50;411;2025;4;41;;;;20;37;43;v12025;20260423;2m
50;412;2025;4;41;;;;37;;63;v12025;20260423;2m
50;421;2025;4;42;;;;3;51;46;v12025;20260423;2m
50;422;2025;4;42;;;;35;;65;v12025;20260423;2m
50;431;2025;4;43;;;;0;60;40;v12025;20260423;2m
50;432;2025;4;43;;;;11;;89;v12025;20260423;2m
52;111;2025;1;11;;;;25;40;35;v12025;20260423;2m
52;112;2025;1;11;;;;17;50;33;v12025;20260423;2m
52;121;2025;1;12;;;;33;60;7;v12025;20260423;2m
52;122;2025;1;12;;;;76;;24;v12025;20260423;2m
52;211;2025;2;21;;;;40;49;11;v12025;20260423;2m
52;212;2025;2;21;;;;22;45;34;v12025;20260423;2m
52;221;2025;2;22;;;;55;41;5;v12025;20260423;2m
52;222;2025;2;22;;;;64;;36;v12025;20260423;2m
52;231;2025;2;23;;;;16;55;30;v12025;20260423;2m
52;232;2025;2;23;;;;82;;18;v12025;20260423;2m
52;311;2025;3;31;;;;89;5;7;v12025;20260423;2m
52;312;2025;3;31;;;;76;10;14;v12025;20260423;2m
52;321;2025;3;32;;;;51;28;21;v12025;20260423;2m
52;322;2025;3;32;;;;21;45;34;v12025;20260423;2m
52;323;2025;3;32;;;;48;24;27;v12025;20260423;2m
52;331;2025;3;33;;;;30;51;18;v12025;20260423;2m
52;411;2025;4;41;;;;15;39;46;v12025;20260423;2m
52;412;2025;4;41;;;;46;;54;v12025;20260423;2m
52;421;2025;4;42;;;;6;50;43;v12025;20260423;2m
52;422;2025;4;42;;;;50;;50;v12025;20260423;2m
52;431;2025;4;43;;;;4;64;32;v12025;20260423;2m
52;432;2025;4;43;;;;32;;68;v12025;20260423;2m
56;111;2025;1;11;;;;21;39;40;v12025;20260423;2m
56;112;2025;1;11;;;;30;50;20;v12025;20260423;2m
56;121;2025;1;12;;;;47;53;0;v12025;20260423;2m
56;122;2025;1;12;;;;88;;12;v12025;20260423;2m
56;211;2025;2;21;;;;34;59;7;v12025;20260423;2m
56;212;2025;2;21;;;;26;39;36;v12025;20260423;2m
56;221;2025;2;22;;;;50;47;3;v12025;20260423;2m
56;222;2025;2;22;;;;70;;30;v12025;20260423;2m
56;231;2025;2;23;;;;34;50;16;v12025;20260423;2m
56;232;2025;2;23;;;;79;;21;v12025;20260423;2m
56;311;2025;3;31;;;;86;7;7;v12025;20260423;2m
56;312;2025;3;31;;;;84;6;10;v12025;20260423;2m
56;321;2025;3;32;;;;53;31;16;v12025;20260423;2m
56;322;2025;3;32;;;;16;59;26;v12025;20260423;2m
56;323;2025;3;32;;;;54;20;26;v12025;20260423;2m
56;331;2025;3;33;;;;43;51;6;v12025;20260423;2m
56;411;2025;4;41;;;;15;50;35;v12025;20260423;2m
56;412;2025;4;41;;;;71;;29;v12025;20260423;2m
56;421;2025;4;42;;;;9;49;43;v12025;20260423;2m
56;422;2025;4;42;;;;69;;31;v12025;20260423;2m
56;431;2025;4;43;;;;6;68;26;v12025;20260423;2m
56;432;2025;4;43;;;;36;;64;v12025;20260423;2m
59;111;2025;1;11;;;;22;36;42;v12025;20260423;2m
59;112;2025;1;11;;;;14;47;39;v12025;20260423;2m
59;121;2025;1;12;;;;42;50;8;v12025;20260423;2m
59;122;2025;1;12;;;;69;;31;v12025;20260423;2m
59;211;2025;2;21;;;;11;61;28;v12025;20260423;2m
59;212;2025;2;21;;;;11;47;42;v12025;20260423;2m
59;221;2025;2;22;;;;33;53;14;v12025;20260423;2m
59;222;2025;2;22;;;;53;;47;v12025;20260423;2m
59;231;2025;2;23;;;;17;44;39;v12025;20260423;2m
59;232;2025;2;23;;;;81;;19;v12025;20260423;2m
59;311;2025;3;31;;;;81;8;11;v12025;20260423;2m
59;312;2025;3;31;;;;56;17;28;v12025;20260423;2m
59;321;2025;3;32;;;;44;31;25;v12025;20260423;2m
59;322;2025;3;32;;;;11;39;50;v12025;20260423;2m
59;323;2025;3;32;;;;42;25;33;v12025;20260423;2m
59;331;2025;3;33;;;;25;56;19;v12025;20260423;2m
59;411;2025;4;41;;;;14;34;51;v12025;20260423;2m
59;412;2025;4;41;;;;29;;71;v12025;20260423;2m
59;421;2025;4;42;;;;6;42;53;v12025;20260423;2m
59;422;2025;4;42;;;;53;;47;v12025;20260423;2m
59;431;2025;4;43;;;;9;63;29;v12025;20260423;2m
59;432;2025;4;43;;;;31;;69;v12025;20260423;2m
60;111;2025;1;11;;;;21;52;27;v12025;20260423;2m
60;112;2025;1;11;;;;24;45;32;v12025;20260423;2m
60;121;2025;1;12;;;;45;49;5;v12025;20260423;2m
60;122;2025;1;12;;;;86;;14;v12025;20260423;2m
60;211;2025;2;21;;;;29;57;14;v12025;20260423;2m
60;212;2025;2;21;;;;22;61;17;v12025;20260423;2m
60;221;2025;2;22;;;;70;29;1;v12025;20260423;2m
60;222;2025;2;22;;;;83;;17;v12025;20260423;2m
60;231;2025;2;23;;;;18;53;29;v12025;20260423;2m
60;232;2025;2;23;;;;83;;17;v12025;20260423;2m
60;311;2025;3;31;;;;92;4;4;v12025;20260423;2m
60;312;2025;3;31;;;;81;7;13;v12025;20260423;2m
60;321;2025;3;32;;;;65;18;17;v12025;20260423;2m
60;322;2025;3;32;;;;23;51;26;v12025;20260423;2m
60;323;2025;3;32;;;;73;9;18;v12025;20260423;2m
60;331;2025;3;33;;;;32;48;19;v12025;20260423;2m
60;411;2025;4;41;;;;27;45;28;v12025;20260423;2m
60;412;2025;4;41;;;;52;;48;v12025;20260423;2m
60;421;2025;4;42;;;;16;58;26;v12025;20260423;2m
60;422;2025;4;42;;;;65;;35;v12025;20260423;2m
60;431;2025;4;43;;;;5;69;25;v12025;20260423;2m
60;432;2025;4;43;;;;42;;58;v12025;20260423;2m
67;111;2025;1;11;;;;21;46;32;v12025;20260423;2m
67;112;2025;1;11;;;;36;54;11;v12025;20260423;2m
67;121;2025;1;12;;;;43;52;5;v12025;20260423;2m
67;122;2025;1;12;;;;96;;4;v12025;20260423;2m
67;211;2025;2;21;;;;45;38;18;v12025;20260423;2m
67;212;2025;2;21;;;;41;43;16;v12025;20260423;2m
67;221;2025;2;22;;;;71;21;7;v12025;20260423;2m
67;222;2025;2;22;;;;77;;23;v12025;20260423;2m
67;231;2025;2;23;;;;47;42;11;v12025;20260423;2m
67;232;2025;2;23;;;;80;;20;v12025;20260423;2m
67;311;2025;3;31;;;;85;2;13;v12025;20260423;2m
67;312;2025;3;31;;;;75;9;16;v12025;20260423;2m
67;321;2025;3;32;;;;78;13;9;v12025;20260423;2m
67;322;2025;3;32;;;;49;38;13;v12025;20260423;2m
67;323;2025;3;32;;;;78;11;11;v12025;20260423;2m
67;331;2025;3;33;;;;73;24;4;v12025;20260423;2m
67;411;2025;4;41;;;;38;35;27;v12025;20260423;2m
67;412;2025;4;41;;;;78;;22;v12025;20260423;2m
67;421;2025;4;42;;;;24;42;35;v12025;20260423;2m
67;422;2025;4;42;;;;87;;13;v12025;20260423;2m
67;431;2025;4;43;;;;16;64;20;v12025;20260423;2m
67;432;2025;4;43;;;;61;;39;v12025;20260423;2m
69;111;2025;1;11;;;;9;34;57;v12025;20260423;2m
69;112;2025;1;11;;;;7;37;55;v12025;20260423;2m
69;121;2025;1;12;;;;46;52;2;v12025;20260423;2m
69;122;2025;1;12;;;;61;;39;v12025;20260423;2m
69;211;2025;2;21;;;;18;57;25;v12025;20260423;2m
69;212;2025;2;21;;;;6;42;52;v12025;20260423;2m
69;221;2025;2;22;;;;39;45;16;v12025;20260423;2m
69;222;2025;2;22;;;;52;;48;v12025;20260423;2m
69;231;2025;2;23;;;;9;55;36;v12025;20260423;2m
69;232;2025;2;23;;;;78;;22;v12025;20260423;2m
69;311;2025;3;31;;;;82;4;13;v12025;20260423;2m
69;312;2025;3;31;;;;70;9;21;v12025;20260423;2m
69;321;2025;3;32;;;;27;30;43;v12025;20260423;2m
69;322;2025;3;32;;;;18;49;33;v12025;20260423;2m
69;323;2025;3;32;;;;36;18;46;v12025;20260423;2m
69;331;2025;3;33;;;;30;48;22;v12025;20260423;2m
69;411;2025;4;41;;;;12;40;48;v12025;20260423;2m
69;412;2025;4;41;;;;62;;38;v12025;20260423;2m
69;421;2025;4;42;;;;9;54;37;v12025;20260423;2m
69;422;2025;4;42;;;;73;;27;v12025;20260423;2m
69;431;2025;4;43;;;;8;75;17;v12025;20260423;2m
69;432;2025;4;43;;;;30;;70;v12025;20260423;2m
72;111;2025;1;11;;;;10;50;40;v12025;20260423;2m
72;112;2025;1;11;;;;10;40;50;v12025;20260423;2m
72;121;2025;1;12;;;;0;60;40;v12025;20260423;2m
72;122;2025;1;12;;;;70;;30;v12025;20260423;2m
72;211;2025;2;21;;;;18;82;0;v12025;20260423;2m
72;212;2025;2;21;;;;9;55;36;v12025;20260423;2m
72;221;2025;2;22;;;;36;55;9;v12025;20260423;2m
72;222;2025;2;22;;;;55;;45;v12025;20260423;2m
72;231;2025;2;23;;;;9;55;36;v12025;20260423;2m
72;232;2025;2;23;;;;100;;0;v12025;20260423;2m
72;311;2025;3;31;;;;36;36;27;v12025;20260423;2m
72;312;2025;3;31;;;;45;9;45;v12025;20260423;2m
72;321;2025;3;32;;;;36;36;27;v12025;20260423;2m
72;322;2025;3;32;;;;0;55;45;v12025;20260423;2m
72;323;2025;3;32;;;;55;27;18;v12025;20260423;2m
72;331;2025;3;33;;;;27;36;36;v12025;20260423;2m
72;411;2025;4;41;;;;18;27;55;v12025;20260423;2m
72;412;2025;4;41;;;;45;;55;v12025;20260423;2m
72;421;2025;4;42;;;;9;18;73;v12025;20260423;2m
72;422;2025;4;42;;;;55;;45;v12025;20260423;2m
72;431;2025;4;43;;;;0;27;73;v12025;20260423;2m
72;432;2025;4;43;;;;18;;82;v12025;20260423;2m
78;111;2025;1;11;;;;50;44;6;v12025;20260423;2m
78;112;2025;1;11;;;;31;44;25;v12025;20260423;2m
