"rbd";"agno";"nivel";"grado";"ind";"dim";"sdim";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"fecha_bbdd";"codigo_bdd"
25;2023;MEDIA;2;PF;SP;IE;36;48;17;;;;20240528;final20240528v1
25;2023;MEDIA;2;CC;AS;MP;24;49;27;;;;20240528;final20240528v1
25;2023;MEDIA;2;AM;AA;PA;29;49;22;;;;20240528;final20240528v1
25;2023;MEDIA;2;HV;AC;PC;42;;59;;;;20240528;final20240528v1
25;2023;MEDIA;2;PF;VD;PD;56;26;18;;;;20240528;final20240528v1
25;2023;MEDIA;2;PF;PA;PE;91;2;7;;;;20240528;final20240528v1
25;2023;MEDIA;2;HV;HA;PH;56;;44;;;;20240528;final20240528v1
25;2023;MEDIA;2;AM;ME;PM;88;;12;;;;20240528;final20240528v1
25;2023;MEDIA;2;PF;PA;PP;83;5;12;;;;20240528;final20240528v1
25;2023;MEDIA;2;CC;AO;PR;83;;17;;;;20240528;final20240528v1
25;2023;MEDIA;2;HV;VA;PV;45;;55;;;;20240528;final20240528v1
25;2023;MEDIA;2;PF;VD;RD;31;46;23;;;;20240528;final20240528v1
25;2023;MEDIA;2;CC;AS;TV;88;;13;;;;20240528;final20240528v1
32;2023;MEDIA;2;AM;AA;AA;27;43;30;;;;20240528;final20240528v1
32;2023;MEDIA;2;CC;AR;AB;18;71;11;;;;20240528;final20240528v1
32;2023;MEDIA;2;HV;AC;AC;4;55;41;;;;20240528;final20240528v1
32;2023;MEDIA;2;HV;VA;AF;23;39;38;;;;20240528;final20240528v1
32;2023;MEDIA;2;HV;HA;AL;14;61;25;;;;20240528;final20240528v1
32;2023;MEDIA;2;CC;AO;AO;77;23;0;;;;20240528;final20240528v1
32;2023;MEDIA;2;CC;AR;CS;41;54;5;;;;20240528;final20240528v1
32;2023;MEDIA;2;PF;VD;EP;52;29;20;;;;20240528;final20240528v1
32;2023;MEDIA;2;AM;ME;ID;21;71;7;;;;20240528;final20240528v1
32;2023;MEDIA;2;PF;SP;IE;25;59;16;;;;20240528;final20240528v1
32;2023;MEDIA;2;CC;AS;MP;9;63;29;;;;20240528;final20240528v1
32;2023;MEDIA;2;AM;AA;PA;16;45;39;;;;20240528;final20240528v1
32;2023;MEDIA;2;HV;AC;PC;7;;93;;;;20240528;final20240528v1
32;2023;MEDIA;2;PF;VD;PD;60;22;18;;;;20240528;final20240528v1
32;2023;MEDIA;2;PF;PA;PE;82;13;5;;;;20240528;final20240528v1
32;2023;MEDIA;2;HV;HA;PH;41;;59;;;;20240528;final20240528v1
32;2023;MEDIA;2;AM;ME;PM;79;;21;;;;20240528;final20240528v1
32;2023;MEDIA;2;PF;PA;PP;70;13;18;;;;20240528;final20240528v1
32;2023;MEDIA;2;CC;AO;PR;70;;30;;;;20240528;final20240528v1
32;2023;MEDIA;2;HV;VA;PV;38;;63;;;;20240528;final20240528v1
32;2023;MEDIA;2;PF;VD;RD;21;59;20;;;;20240528;final20240528v1
32;2023;MEDIA;2;CC;AS;TV;93;;7;;;;20240528;final20240528v1
45;2023;MEDIA;2;AM;AA;AA;26;23;51;;;;20240528;final20240528v1
45;2023;MEDIA;2;CC;AR;AB;17;64;19;;;;20240528;final20240528v1
45;2023;MEDIA;2;HV;AC;AC;4;53;43;;;;20240528;final20240528v1
45;2023;MEDIA;2;HV;VA;AF;19;40;42;;;;20240528;final20240528v1
45;2023;MEDIA;2;HV;HA;AL;11;51;38;;;;20240528;final20240528v1
45;2023;MEDIA;2;CC;AO;AO;58;40;2;;;;20240528;final20240528v1
45;2023;MEDIA;2;CC;AR;CS;30;60;9;;;;20240528;final20240528v1
45;2023;MEDIA;2;PF;VD;EP;34;40;26;;;;20240528;final20240528v1
45;2023;MEDIA;2;AM;ME;ID;25;59;17;;;;20240528;final20240528v1
45;2023;MEDIA;2;PF;SP;IE;36;42;23;;;;20240528;final20240528v1
45;2023;MEDIA;2;CC;AS;MP;6;55;40;;;;20240528;final20240528v1
45;2023;MEDIA;2;AM;AA;PA;6;42;53;;;;20240528;final20240528v1
45;2023;MEDIA;2;HV;AC;PC;36;;64;;;;20240528;final20240528v1
