rbd|agno|grado|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
3381|2019|8b|ESCUELA ANGEL CRUCHAGA SANTA MARIA|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|71.670195002|70.426771265|80.812340526|73.594444692
3382|2019|8b|ESCUELA PEDRO ALESSANDRI VARGAS|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|1|1|2|77.011140001|78.100639036|81.312594265|81.424960472
3385|2019|8b|ESCUELA PARTICULAR NRO 9 LOS CERRILLOS|7|DEL MAULE|74|LINARES|7403|LONGAVÍ|Linares|2|1|2|72.250747352|76.413455733|73.621998732|65.660887589
3387|2019|8b|LICEO FEDERICO HEISE MARTI|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|1|72.791593824|78.728187686|71.957934447|82.079783399
3389|2019|8b|ESCUELA SANTIAGO URRUTIA BENAVENTE|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|1|78.882185496|81.183938601|78.801410933|77.829375929
3390|2019|8b|ESCUELA LUIS ARMANDO GOMEZ MUNOZ|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|2|1|87.018049792|87.674849829|79.04460176|87.587252919
3393|2019|8b|ESCUELA ARRAU MENDEZ|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|1|76.959162396|75.441586935|67.138421376|76.472297113
3395|2019|8b|ESCUELA NIDER ORREGO QUEVEDO|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|1|75.778872561|81.644777491|72.920272175|80.109170887
3398|2019|8b|ESCUELA JOSE MATTA CALLEJON|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|2|1|71.167145718|74.24287665|72.127470088|74.654900045
3400|2019|8b|COLEGIO ALBERTO MOLINA CASTILLO|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|2|2|69.874757361|76.485670264|72.917941378|73.914466798
3401|2019|8b|ESCUELA EL LIBERTADOR|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|2|2|76.984566291|82.495374017|75.943190682|78.896922355
3402|2019|8b|ESCUELA FRANCISCO PEREZ LAVIN|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|2|68.01425108|78.751808595|68.345046312|82.652427256
3404|2019|8b|ESCUELA IGNACIO URRUTIA DE LA SOTTA|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|2|82.941225353|81.199626949|78.200105093|83.231260911
3405|2019|8b|ESCUELA ARMANDO GUZMAN MORALES|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|1|2|74.862941638|76.254507931|80.541195005|73.019428779
3408|2019|8b|ESCUELA FRANCISCO MAUREIRA|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|1|2|2|74.568379672|69.51697206|75.283997937|71.343213175
3430|2019|8b|INSTITUTO PARRAL|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|2|3|1|72.282142973|76.162515584|74.138975781|82.40118353
3431|2019|8b|COLEGIO SAN JOSE|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|2|3|1|74.215905749|73.711717685|71.491251377|76.888411644
3432|2019|8b|COLEGIO PARTICULAR PROVIDENCIA|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|2|3|1|72.586403026|72.271461553|69.833150668|76.84256395
3433|2019|8b|COLEGIO CONCEPCION DE PARRAL|7|DEL MAULE|74|LINARES|7404|PARRAL|Linares|2|4|1|73.450480146|75.552856261|68.843093909|77.301528534
3434|2019|8b|LICEO GUILLERMO MARIN LARRAIN|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|1|76.718625251|78.935483664|73.15790644|81.359160077
3435|2019|8b|ESCUELA MANUEL MONTT|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|1|69.197327818|65.433874619|62.905150692|68.260607962
3436|2019|8b|ESCUELA COPIHUE|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|1|87.52548839|85.002939763|77.71987208|87.359156728
3437|2019|8b|ESCUELA RAMON BARROS LUCO|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|2|77.271555044|82.646252585|74.785084002|81.38097946
3440|2019|8b|ESCUELA GERTRUDIS ALARCON ARCE|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|2|2|92.07317508|86.869920544|91.169324834|96.002631176
3442|2019|8b|COLEGIO AJIAL|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|2|81.081529761|82.052218636|82.634204126|89.910871314
3443|2019|8b|COLEGIO ROBINSON CABRERA BELTRAN|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|2|2|79.253499637|81.622308063|81.598816212|88.504825563
3445|2019|8b|ESCUELA ROMERAL|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|2|2|74.64905585|83.417012973|76.531009873|88.274502615
3448|2019|8b|ESCUELA SANTA ISABEL|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|2|2|76.642581807|85.320512177|74.129844215|81.30878403
3454|2019|8b|ESCUELA LOS ROBLES|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|2|74.085033677|73.02470675|73.877651282|81.347229939
3458|2019|8b|ESCUELA MARIA IGNACIA MENA MONROY|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|1|1|2|74.068893356|72.412101357|84.914107259|85.934346664
3460|2019|8b|COLEGIO POLIVALENTE LAS CAMELIAS|7|DEL MAULE|74|LINARES|7405|RETIRO|Linares|2|2|2|75.472099103|76.737081336|78.526943516|81.145348171
