agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|4b|24725|COLEGIO JUGENDLAND SCHULE|13|REGION METROPOLITANA DE SANTIAGO|6|TALAGANTE|13601|TALAGANTE|TALAGANTE|Particular pagado|Alto|Urbano|81.74139260742602|82.9283274653513|74.60579514301868|81.59855257670789
2017|4b|24730|COLEGIO ADVENTISTA SANTIAGO PONIENTE|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13117|LO PRADO|SANTIAGO PONIENTE|Particular subvencionado|Medio|Urbano|68.76117788403683|76.38400114163137|70.44530220293648|73.52898659301084
2017|4b|24733|COLEGIO SAN ANDRES DE COLINA|13|REGION METROPOLITANA DE SANTIAGO|3|CHACABUCO|13301|COLINA|SANTIAGO NORTE|Particular subvencionado|Medio bajo|Urbano|80.43285414853995|77.08520452233941|71.57494100415957|82.19289968736466
2017|4b|24756|COLEGIO NAZARET DE LA FLORIDA|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Particular subvencionado|Medio alto|Urbano|76.96173017961313|74.43678423289052|69.10714595870212|79.57758710484359
2017|4b|24758|COLEGIO CRISTIANO BETHEL  N 3|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Particular subvencionado|Medio|Urbano|70.70769236256862|71.61183555876391|62.15857219735046|76.32325684199554
2017|4b|24759|ESC.NUESTRA SENORA DEL CARMEN DE CURACAV|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13503|CURACAVÍ|TALAGANTE|Particular subvencionado|Medio|Urbano|75.29002740029127|84.00938745440011|71.75891196639235|87.25579255372578
2017|4b|24761|SAN JUAN DE LAS CONDES|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13114|LAS CONDES|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|75.20182624958449|80.48272581648837|69.18388430348691|75.75198187947595
2017|4b|24762|COLEGIO SAINT MARY JOSEPH SCHOOL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13118|MACUL|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|77.17738292475578|77.54467966142873|76.49938680740172|77.48970804367643
2017|4b|24766|COLEGIO ALMENDRAL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Particular subvencionado|Medio|Urbano|68.60693638074206|72.86224818955523|58.87018759845216|69.58578423749923
2017|4b|24767|COLEGIO EL SEMBRADOR ANEXO 2|13|REGION METROPOLITANA DE SANTIAGO|2|CORDILLERA|13201|PUENTE ALTO|CORDILLERA|Particular subvencionado|Medio|Urbano|73.52012742272206|74.14249970151583|74.94576077250363|79.17341050056616
