agno,grado,rbd,ind_am,ind_cc,ind_hv,ind_pf
2016,4b,1247,72,68,62,75
2016,4b,1248,72,71,70,79
2016,4b,1249,75,73,60,77
2016,4b,1250,69,79,67,69
2016,4b,1251,74,75,65,79
2016,4b,1252,79,80,70,86
2016,4b,1256,71,74,74,76
2016,4b,1257,76,77,76,83
2016,4b,1258,61,69,64,75
2016,4b,1259,71,,69,75
2016,4b,1260,75,75,70,81
2016,4b,1263,73,79,68,77
2016,4b,1264,77,72,63,76
2016,4b,1265,75,62,66,78
2016,4b,1266,61,58,60,63
2016,4b,1268,70,69,65,73
2016,4b,1269,71,69,69,77
2016,4b,1271,70,66,66,72
2016,4b,1273,73,82,63,86
2016,4b,1274,77,70,58,70
2016,4b,1275,70,69,65,76
2016,4b,1279,76,76,77,88
2016,4b,1280,72,68,62,75
2016,4b,1281,71,75,73,81
2016,4b,1282,77,82,74,82
2016,4b,1283,80,77,74,89
2016,4b,1285,75,77,75,82
2016,4b,1286,80,75,63,78
2016,4b,1287,75,,77,86
2016,4b,1288,78,79,73,82
2016,4b,1290,77,79,75,82
2016,4b,1291,76,86,77,82
2016,4b,1292,72,72,71,72
2016,4b,1294,88,81,79,88
2016,4b,1301,66,,64,69
2016,4b,1302,71,72,61,74
2016,4b,1304,78,76,62,79
2016,4b,1305,80,67,62,75
2016,4b,1307,69,78,66,77
2016,4b,1308,60,75,38,64
2016,4b,1309,73,74,73,81
2016,4b,1310,74,74,71,80
2016,4b,1311,76,81,74,84
2016,4b,1312,79,80,72,78
2016,4b,1313,69,76,62,77
2016,4b,1316,76,72,65,79
2016,4b,1318,76,70,73,85
2016,4b,1321,77,72,70,83
2016,4b,1322,90,,70,77
2016,4b,1323,62,65,67,66
2016,4b,1325,70,65,57,66
2016,4b,1326,81,75,74,82
2016,4b,1327,78,78,70,82
2016,4b,1328,71,,70,80
2016,4b,1329,77,83,76,85
2016,4b,1331,73,72,70,73
2016,4b,1332,68,78,69,81
2016,4b,1333,77,76,76,84
2016,4b,1336,75,75,64,78
2016,4b,1337,81,74,81,77
2016,4b,1338,76,76,77,81
2016,4b,1339,70,65,71,70
2016,4b,1340,66,,58,72
2016,4b,1341,76,78,77,86
2016,4b,1342,80,76,78,97
2016,4b,1343,84,80,83,96
2016,4b,1345,70,78,73,80
2016,4b,1346,54,70,59,63
2016,4b,1347,77,73,69,82
2016,4b,1349,78,82,70,84
2016,4b,1350,73,71,73,78
2016,4b,1352,75,80,72,84
2016,4b,1353,70,78,72,75
2016,4b,1355,68,72,64,72
2016,4b,1356,87,93,89,92
2016,4b,1358,75,85,77,85
2016,4b,1359,77,76,81,81
2016,4b,1360,72,77,74,76
2016,4b,1361,70,71,64,73
2016,4b,1364,77,81,73,81
2016,4b,1367,70,71,62,74
2016,4b,1368,78,74,71,81
2016,4b,1369,66,65,56,72
2016,4b,1370,74,,65,77
2016,4b,1371,79,82,69,82
2016,4b,1376,68,,63,75
2016,4b,1377,77,69,72,82
2016,4b,1378,67,71,60,72
2016,4b,1384,78,79,76,85
2016,4b,1385,64,70,51,67
2016,4b,1389,72,,66,77
2016,4b,1390,74,75,65,79
2016,4b,1393,74,83,66,79
2016,4b,1394,68,70,65,71
2016,4b,1395,71,74,67,77
2016,4b,1397,76,74,64,78
2016,4b,1403,74,82,68,81
2016,4b,1404,80,78,72,81
2016,4b,1405,76,78,75,84
2016,4b,1412,75,79,75,75
2016,4b,1414,70,77,65,75
2016,4b,1416,70,74,71,74
2016,4b,1417,57,75,67,67
2016,4b,1418,78,79,77,68
2016,4b,1419,72,,71,85
2016,4b,1421,75,76,66,79
2016,4b,1423,76,68,77,81
2016,4b,1424,77,64,77,81
2016,4b,1425,73,71,65,75
2016,4b,1427,70,75,66,73
2016,4b,1430,72,74,75,81
2016,4b,1431,77,74,69,83
2016,4b,1433,78,78,79,83
2016,4b,1435,89,88,84,91
2016,4b,1436,77,74,72,78
2016,4b,1437,72,77,66,78
2016,4b,1438,82,90,83,90
2016,4b,1440,71,66,61,65
2016,4b,1442,66,67,56,61
2016,4b,1444,69,66,67,73
2016,4b,1445,80,81,79,87
2016,4b,1447,72,68,68,75
2016,4b,1448,63,64,67,73
2016,4b,1449,75,72,72,79
2016,4b,1450,74,77,72,79
2016,4b,1453,78,69,71,80
2016,4b,1454,72,71,57,69
2016,4b,1455,72,78,70,81
2016,4b,1456,69,75,70,78
2016,4b,1457,66,,68,69
2016,4b,1458,68,67,66,69
2016,4b,1459,78,69,71,73
2016,4b,1460,45,58,46,16
2016,4b,1461,68,88,77,78
2016,4b,1462,69,78,84,81
2016,4b,1465,76,77,67,78
2016,4b,1466,82,83,72,84
2016,4b,1468,70,71,62,73
2016,4b,1469,73,76,67,82
2016,4b,1471,82,75,73,86
2016,4b,1472,63,65,59,67
2016,4b,1473,72,,67,
2016,4b,1474,78,79,80,82
2016,4b,1475,70,71,64,71
2016,4b,1478,76,83,74,83
2016,4b,1479,68,64,59,64
2016,4b,1481,69,,67,74
2016,4b,1482,75,75,72,77
2016,4b,1483,77,84,80,80
2016,4b,1484,69,76,71,77
2016,4b,1488,72,75,75,77
2016,4b,1490,80,79,71,83
2016,4b,1491,69,65,74,68
2016,4b,1493,72,,65,73
2016,4b,1496,73,76,59,74
2016,4b,1497,85,90,80,
2016,4b,1498,78,85,70,82
2016,4b,1500,67,76,69,72
2016,4b,1506,63,72,65,68
2016,4b,1511,72,62,66,68
2016,4b,1514,65,64,59,66
2016,4b,1516,71,64,65,68
2016,4b,1517,73,72,62,73
2016,4b,1518,79,70,51,68
2016,4b,1521,69,64,61,70
2016,4b,1522,76,67,73,81
2016,4b,1523,72,69,64,71
2016,4b,1524,74,76,60,79
2016,4b,1526,79,70,74,84
2016,4b,1528,74,66,65,73
2016,4b,1529,77,72,72,79
2016,4b,1533,69,66,55,69
2016,4b,1534,79,72,70,80
2016,4b,1536,68,73,66,77
2016,4b,1537,79,79,75,79
2016,4b,1538,60,71,55,68
2016,4b,1540,65,59,48,66
2016,4b,1541,74,68,66,77
2016,4b,1542,78,71,69,80
2016,4b,1543,84,76,79,87
2016,4b,1547,76,64,70,78
