rbd,agno,grado,ind,prom,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_depe2,cod_grupo,cod_rural_rbd
7717,2022,4,CC,76,INSTITUTO ALEMAN DE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7717,2022,4,HV,77,INSTITUTO ALEMAN DE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7717,2022,4,PF,80,INSTITUTO ALEMAN DE PUERTO MONTT,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7718,2022,4,AM,73,THE AMERICAN SCHOOL,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7718,2022,4,CC,78,THE AMERICAN SCHOOL,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7718,2022,4,HV,72,THE AMERICAN SCHOOL,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7718,2022,4,PF,72,THE AMERICAN SCHOOL,10,DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,Llanquihue,3,5,1
7722,2022,4,AM,70,COLEGIO ROSITA NOVARO DE NOVARO PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7722,2022,4,CC,66,COLEGIO ROSITA NOVARO DE NOVARO PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7722,2022,4,HV,62,COLEGIO ROSITA NOVARO DE NOVARO PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7722,2022,4,PF,73,COLEGIO ROSITA NOVARO DE NOVARO PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7723,2022,4,AM,78,ESCUELA GRUPO ESCOLAR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7723,2022,4,CC,78,ESCUELA GRUPO ESCOLAR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7723,2022,4,HV,72,ESCUELA GRUPO ESCOLAR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7723,2022,4,PF,78,ESCUELA GRUPO ESCOLAR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,1
7724,2022,4,AM,73,CNB ARTISTICO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,3,2
7724,2022,4,CC,75,CNB ARTISTICO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,3,2
7724,2022,4,HV,72,CNB ARTISTICO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,3,2
7724,2022,4,PF,83,CNB ARTISTICO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,3,2
7725,2022,4,AM,73,ESCUELA RURAL COLONIA RIO SUR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7725,2022,4,CC,76,ESCUELA RURAL COLONIA RIO SUR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7725,2022,4,HV,70,ESCUELA RURAL COLONIA RIO SUR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7725,2022,4,PF,77,ESCUELA RURAL COLONIA RIO SUR,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7726,2022,4,AM,89,ESCUELA RURAL SANTA MARIA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7726,2022,4,CC,77,ESCUELA RURAL SANTA MARIA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7726,2022,4,HV,85,ESCUELA RURAL SANTA MARIA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7726,2022,4,PF,99,ESCUELA RURAL SANTA MARIA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7729,2022,4,AM,78,ESCUELA RURAL JOSE WERNER MEIXNER,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7729,2022,4,CC,83,ESCUELA RURAL JOSE WERNER MEIXNER,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7729,2022,4,HV,85,ESCUELA RURAL JOSE WERNER MEIXNER,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7729,2022,4,PF,89,ESCUELA RURAL JOSE WERNER MEIXNER,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7730,2022,4,AM,73,ESCUELA RURAL REINALDO RADDATZ HARRICH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7730,2022,4,CC,79,ESCUELA RURAL REINALDO RADDATZ HARRICH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7730,2022,4,HV,75,ESCUELA RURAL REINALDO RADDATZ HARRICH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7730,2022,4,PF,84,ESCUELA RURAL REINALDO RADDATZ HARRICH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7738,2022,4,AM,79,ESCUELA RURAL HARDY MINTE BARTSCH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7738,2022,4,CC,80,ESCUELA RURAL HARDY MINTE BARTSCH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7738,2022,4,HV,81,ESCUELA RURAL HARDY MINTE BARTSCH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7738,2022,4,PF,88,ESCUELA RURAL HARDY MINTE BARTSCH,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7740,2022,4,AM,69,ESCUELA RURAL EPSON DE ENSENADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7740,2022,4,CC,74,ESCUELA RURAL EPSON DE ENSENADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7740,2022,4,HV,71,ESCUELA RURAL EPSON DE ENSENADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7740,2022,4,PF,76,ESCUELA RURAL EPSON DE ENSENADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7741,2022,4,AM,78,ESCUELA RURAL RICARDO ROTH SCHUTZ,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7741,2022,4,CC,72,ESCUELA RURAL RICARDO ROTH SCHUTZ,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7741,2022,4,HV,81,ESCUELA RURAL RICARDO ROTH SCHUTZ,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7741,2022,4,PF,75,ESCUELA RURAL RICARDO ROTH SCHUTZ,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,2,2
7742,2022,4,AM,72,COLEGIO GERMANIA DEL VERBO DIVINO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,3,5,1
7742,2022,4,CC,77,COLEGIO GERMANIA DEL VERBO DIVINO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,3,5,1
7742,2022,4,HV,74,COLEGIO GERMANIA DEL VERBO DIVINO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,3,5,1
7742,2022,4,PF,78,COLEGIO GERMANIA DEL VERBO DIVINO,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,3,5,1
7743,2022,4,AM,71,COLEGIO  BICENTENARIO FELMER NIKLITSCHEK,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,3,1
7743,2022,4,CC,80,COLEGIO  BICENTENARIO FELMER NIKLITSCHEK,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,3,1
7743,2022,4,HV,71,COLEGIO  BICENTENARIO FELMER NIKLITSCHEK,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,3,1
7743,2022,4,PF,83,COLEGIO  BICENTENARIO FELMER NIKLITSCHEK,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,3,1
7744,2022,4,AM,74,COLEGIO INMACULADA CONCEPCION PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,4,1
7744,2022,4,CC,79,COLEGIO INMACULADA CONCEPCION PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,4,1
7744,2022,4,HV,75,COLEGIO INMACULADA CONCEPCION PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,4,1
7744,2022,4,PF,82,COLEGIO INMACULADA CONCEPCION PUERTO VARAS,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,4,1
7745,2022,4,AM,75,ESCUELA PARTICULAR N.199 LINEA CRUZADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
