"rbd";"grado";"agno";"ind";"prom";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"fecha_bbdd";"codigo_bdd"
463;4;2023;PF;82;ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
464;4;2023;AM;76;ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
464;4;2023;CC;77;ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
464;4;2023;HV;73;ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
464;4;2023;PF;83;ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;1;20240528;final20240528v1
467;4;2023;AM;;ESCUELA HERNÁN ARAVENA CONTRERAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
467;4;2023;CC;;ESCUELA HERNÁN ARAVENA CONTRERAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
467;4;2023;HV;;ESCUELA HERNÁN ARAVENA CONTRERAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
467;4;2023;PF;;ESCUELA HERNÁN ARAVENA CONTRERAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
468;4;2023;AM;83;ESCUELA BÁSICA IGNACIO FRANCO GALLO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
468;4;2023;CC;83;ESCUELA BÁSICA IGNACIO FRANCO GALLO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
468;4;2023;HV;81;ESCUELA BÁSICA IGNACIO FRANCO GALLO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
468;4;2023;PF;91;ESCUELA BÁSICA IGNACIO FRANCO GALLO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;1;2;20240528;final20240528v1
469;4;2023;AM;79;ESCUELA BÁSICA JUSTINO LEIVA AMOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
469;4;2023;CC;81;ESCUELA BÁSICA JUSTINO LEIVA AMOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
469;4;2023;HV;72;ESCUELA BÁSICA JUSTINO LEIVA AMOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
