rbd,agno,curso,prom_mate_rbd,prom_lect_rbd,cod_grupo,cod_depe2,cod_rural_rbd,ind_am,ind_cc,ind_hv,ind_pf
1354,2024,2m,249.0,249.0,2.0,1,1,,86.0,,
1895,2024,2m,211.0,206.0,1.0,1,1,,78.0,,
16551,2024,2m,219.0,228.0,1.0,1,2,,88.0,,
10600,2024,2m,272.0,265.0,3.0,2,1,,83.0,,
7743,2024,2m,248.0,237.0,2.0,2,1,,83.0,,
20478,2024,2m,231.0,228.0,2.0,2,1,,83.0,,
1672,2024,2m,212.0,222.0,2.0,1,1,,80.0,,
2170,2024,2m,287.0,265.0,5.0,3,1,,90.0,,
22210,2024,2m,249.0,260.0,4.0,2,1,,86.0,,
7388,2024,2m,283.0,270.0,3.0,2,1,,71.0,,
22542,2024,2m,257.0,274.0,3.0,2,1,,83.0,,
13388,2024,2m,277.0,259.0,4.0,2,1,,83.0,,
40352,2024,2m,219.0,216.0,2.0,1,1,,85.0,,
129,2024,2m,218.0,227.0,3.0,2,1,,85.0,,
9781,2024,2m,228.0,233.0,1.0,2,1,,78.0,,
9117,2024,2m,260.0,249.0,1.0,1,1,,84.0,,
4706,2024,2m,227.0,216.0,1.0,1,1,,78.0,,
14527,2024,2m,230.0,237.0,2.0,2,1,,79.0,,
1792,2024,2m,287.0,272.0,5.0,3,1,,82.0,,
15781,2024,2m,212.0,236.0,2.0,1,1,,79.0,,
16448,2024,2m,353.0,279.0,2.0,2,1,,90.0,,
8762,2024,2m,271.0,284.0,5.0,3,1,,82.0,,
7102,2024,2m,227.0,232.0,1.0,2,1,,81.0,,
6770,2024,2m,283.0,269.0,3.0,1,1,,80.0,,
106,2024,2m,238.0,231.0,2.0,2,1,,83.0,,
770,2024,2m,379.0,308.0,5.0,3,1,,82.0,,
15758,2024,2m,266.0,289.0,2.0,2,1,,86.0,,
31078,2024,2m,308.0,284.0,3.0,1,1,,83.0,,
12655,2024,2m,240.0,239.0,2.0,2,1,,82.0,,
11155,2024,2m,209.0,214.0,1.0,1,1,,76.0,,
13319,2024,2m,350.0,305.0,5.0,3,1,,84.0,,
4663,2024,2m,271.0,254.0,3.0,2,1,,80.0,,
4165,2024,2m,230.0,222.0,1.0,1,1,,82.0,,
10491,2024,2m,278.0,266.0,3.0,2,1,,87.0,,
9140,2024,2m,234.0,226.0,2.0,2,1,,77.0,,
1437,2024,2m,253.0,253.0,2.0,2,1,,88.0,,
2150,2024,2m,281.0,260.0,4.0,2,1,,85.0,,
16757,2024,2m,248.0,285.0,2.0,2,1,,90.0,,
16634,2024,2m,296.0,251.0,1.0,2,1,,88.0,,
10640,2024,2m,199.0,216.0,2.0,1,1,,78.0,,
25954,2024,2m,232.0,246.0,2.0,2,1,,75.0,,
