rbd,agno,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
1391,2017,204.0,230.0,Medio bajo,Urbano,Particular subvencionado,76.91575730191457,71.04834182778211,69.44918805976334,71.38320093477863
1392,2017,322.0,302.0,Medio,Urbano,Particular subvencionado,75.60176520383305,81.70952588607518,74.41477887480022,80.07298596564989
1393,2017,309.0,286.0,Medio,Urbano,Particular subvencionado,70.83454918107574,80.713498390499,67.867202482019,76.04045139446673
1395,2017,298.0,281.0,Medio bajo,Urbano,Particular subvencionado,76.74612451841536,79.01410581514595,72.50459298497296,80.19198320284609
1397,2017,264.0,242.0,Medio bajo,Urbano,Particular subvencionado,75.57556834094237,79.80288326667723,77.80095744493106,84.77928649765332
1403,2017,281.0,277.0,Medio alto,Urbano,Particular pagado,71.13854489674566,76.53431368861324,73.70984000496519,81.49885634108847
1404,2017,324.0,261.0,Alto,Urbano,Particular pagado,75.16084586460188,74.77615317834511,71.01067105867627,78.58309496200684
1405,2017,272.0,263.0,Medio,Urbano,Particular subvencionado,71.72966245797558,80.26199910278423,72.03003425769595,85.08208279690187
1412,2017,317.0,286.0,Alto,Urbano,Particular pagado,72.5204347249179,76.2765254339672,65.79567867071233,76.45325497929956
1414,2017,216.0,232.0,Medio bajo,Urbano,Municipal,70.84386752897636,73.01443166853352,64.91824789114737,74.24815534584542
1422,2017,194.0,208.0,Bajo,Urbano,Municipal,69.93017619345869,72.8814612373144,64.70359290302618,71.82272216281973
1425,2017,215.0,227.0,Bajo,Urbano,Municipal,74.15980643919194,70.86987565914211,62.46958535957959,77.12456919343728
1436,2017,293.0,261.0,Medio,Urbano,Particular subvencionado,71.87629088187353,75.636895808985,69.2763626223637,75.0782928345915
1437,2017,269.0,281.0,Medio bajo,Urbano,Particular subvencionado,71.43337571982373,76.00706095658991,67.10256601580524,76.08867168936284
