agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_soc6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_soc6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_soc6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_soc6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_soc6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_soc6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_soc6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_soc6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica
2016|20171024|final20171024v1|6b|22496|0|CENTRO EDUCACIONAL SAN NICOLAS|14|REGION DE LOS RIOS|1|VALDIVIA|14101|VALDIVIA|VALDIVIA|Particular subvencionado|Particular subvencionado|Bajo|Urbano|10|9|10|233|242|231|13|11|-5|1|15|4|No significativa|No significativa|No significativa|No significativa|No significativa|No significativa|||||||50|20|30||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22499|5|INSTITUTO INGLES ANTUQUENU|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Medio|Urbano|59|64|59|236|261|240|-17|-9|-28|-14|8|-9|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|Positiva y significativa|Negativa y significativa|||||||52.5|30.5|16.9|21.9|50|28.1|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22506|1|COLEGIO PUMAHUE|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Particular pagado|Particular pagado|Alto|Urbano|32|33|32|290|305|294|17|2|6|7|6|6|Positiva y significativa|No significativa|No significativa|No significativa|No significativa|No significativa|||||||12.5|21.9|65.599998|6.0999999|21.200001|72.699997|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22509|6|ESCUELA ALEMANIA|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10101|PUERTO MONTT|LLANQUIHUE|Municipal DAEM|Municipal|Medio bajo|Urbano|33|33|31|257|259|241|30|37|29|22|25|8|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|No significativa|||||||18.200001|57.599998|24.200001|24.200001|42.400002|33.299999|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22516|9|INSTITUTO CRISTIANO GRACIA Y PAZ|14|REGION DE LOS RIOS|1|VALDIVIA|14101|VALDIVIA|VALDIVIA|Particular subvencionado|Particular subvencionado|Medio|Urbano|74|75|74|266|255|261|5|8|-5|16|2|12|No significativa|No significativa|No significativa|Positiva y significativa|No significativa|Positiva y significativa|||||||25.700001|33.799999|40.5|21.299999|54.700001|24|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22519|3|COLEGIO MIRADOR DEL LAGO|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10109|PUERTO VARAS|LLANQUIHUE|Municipal DAEM|Municipal|Medio bajo|Urbano|76|77|75|214|217|214|-11|-8|-17|-21|-17|-19|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||67.099998|21.1|11.8|63.599998|32.5|3.9000001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22522|3|COLEGIO SAN MARTIN DE LAS LOMAS|14|REGION DE LOS RIOS|1|VALDIVIA|14105|MÁFIL|VALDIVIA|Particular subvencionado|Particular subvencionado|Bajo|Rural|2|2|0|223|182||||||||No significativa|No significativa||No significativa|No significativa||||Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22527|4|CENTRO EDUCACIONAL SAN SEBASTIAN|14|REGION DE LOS RIOS|1|VALDIVIA|14108|PANGUIPULLI|VALDIVIA|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|64|63|64|253|230|245|22|5|25|18|-4|12|Positiva y significativa|No significativa|Positiva y significativa|Positiva y significativa|No significativa|Positiva y significativa|||||||39.099998|23.4|37.5|49.200001|42.900002|7.9000001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22531|2|ESCUELA CLAUDIO ARRAU LEON|14|REGION DE LOS RIOS|1|VALDIVIA|14108|PANGUIPULLI|VALDIVIA|Corporación Municipal|Municipal|Medio|Urbano|33|35|33|247|227|236|12|9|8|-3|-26|-13|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|||||||33.299999|33.299999|33.299999|48.599998|40|11.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22532|0|ESCUELA EL BOSQUE|14|REGION DE LOS RIOS|1|VALDIVIA|14101|VALDIVIA|VALDIVIA|Municipal DAEM|Municipal|Medio bajo|Urbano|37|31|37|234|233|225|-6|-13|-18|-1|-1|-8|No significativa|No significativa|Negativa y significativa|No significativa|No significativa|No significativa|||||||48.599998|35.099998|16.200001|48.400002|35.5|16.1|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22533|9|COLEGIO MON MAPU|10|REGION DE LOS LAGOS|2|CHILOÉ|10208|QUELLÓN|CHILOÉ|Particular subvencionado|Particular subvencionado|Medio bajo|Urbano|28|29|28|236|240|252|-8|-4|8|1|6|19|No significativa|No significativa|No significativa|No significativa|No significativa|Positiva y significativa|||||||39.299999|60.700001|0|34.5|55.200001|10.3|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22535|5|ESCUELA TERESA DE LOS ANDES|10|REGION DE LOS LAGOS|2|CHILOÉ|10201|CASTRO|CHILOÉ|Corporación Municipal|Municipal|Medio bajo|Urbano|41|41|40|229|212|225|-20|-8|-17|-6|-22|-8|Negativa y significativa|No significativa|Negativa y significativa|No significativa|Negativa y significativa|No significativa|||||||51.200001|31.700001|17.1|70.699997|24.4|4.9000001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22536|3|CENTRO EDUCACIONAL SAN SEBASTIAN DE ANCUD|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|CHILOÉ|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|19|19|19|308|324|316|11|-2|5|43|51|50|No significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||0|10.5|89.5|0|5.3000002|94.699997|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22537|1|COLEGIO FRANCISCA BELEN|14|REGION DE LOS RIOS|1|VALDIVIA|14101|VALDIVIA|VALDIVIA|Particular subvencionado|Particular subvencionado||Rural|||||||||||||||||||||||||||||||Cursos con 100% alumnos PIE
2016|20171024|final20171024v1|6b|22539|8|ESCUELA JOSE MANUEL BALMACEDA|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10102|CALBUCO|LLANQUIHUE|Municipal DAEM|Municipal|Bajo|Urbano|21|20|21|203|200|209|16|6|9|-29|-27|-18|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||81|19|0|75|25|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22542|8|COLEGIO SAN ALBERTO HURTADO|10|REGION DE LOS LAGOS|3|OSORNO|10301|OSORNO|OSORNO|Particular subvencionado|Particular subvencionado|Medio alto|Urbano|27|29|27|245|243|242|-19|-21|-34|-20|-30|-24|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||37|40.700001|22.200001|34.5|51.700001|13.8|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22546|0|GREEN COLLEGE|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10105|FRUTILLAR|LLANQUIHUE|Particular subvencionado|Particular subvencionado|Medio|Urbano|26|26|27|221|231|219|-38|1|-35|-29|-22|-30|Negativa y significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||61.5|23.1|15.4|46.200001|38.5|15.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|22548|7|ESCUELA PARTICULAR EVANGELICA MONTE SINAI|10|REGION DE LOS LAGOS|3|OSORNO|10307|SAN PABLO|OSORNO|Particular subvencionado|Particular subvencionado|Bajo|Rural|2|2|0|244|234||||||||No significativa|No significativa||No significativa|No significativa||||Alumnos insuficientes|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
