agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_nat6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_nat6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_nat6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_nat6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_nat6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_nat6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_nat6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_nat6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2018|6b|10087|0|ESCUELA REPUBLICA DE CROACIA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|14|15|14|225|211|225|4|-36|-4|-13|-25|-12|0|-1|0|-1|-1|0|||||||50|42.9|7.1|66.7|33.3|0|0|20190628|final20190628v1
2018|6b|10088|9|ESCUELA HERMINDA DE LA VICTORIA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|17|19|19|237|228|217|7|10|-15|-1|-8|-20|0|0|0|0|0|-1|||||||47.1|47.1|5.9|47.4|52.6|0|0|20190628|final20190628v1
2018|6b|10089|7|ESCUELA JAIME GOMEZ GARCIA|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|27|26|27|220|232|195|12|25|-18|-18|-4|-42|0|1|0|-1|0|-1|||||||70.4|18.5|11.1|50|42.3|7.7|0|20190628|final20190628v1
2018|6b|10090|0|ESCUELA ALEXANDER GRAHAM BELL|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|52|54|52|220|240|228|-22|-7|-5|-18|4|-9|-1|0|0|-1|0|-1|||||||53.8|30.8|15.4|40.7|51.9|7.4|0|20190628|final20190628v1
2018|6b|10091|9|ESCUELA PROFESORA GLADYS VALENZUELA V|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|32|33|32|226|210|229|21|-14|8|-12|-26|-8|1|0|0|-1|-1|0|||||||56.3|28.1|15.6|66.7|27.3|6.1|0|20190628|final20190628v1
2018|6b|10092|7|ESCUELA GOLDA MEIR|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|23|24|23|213|214|212|17|15|-12|-25|-22|-25|0|0|0|-1|-1|-1|||||||65.2|26.1|8.7|62.5|25|12.5|0|20190628|final20190628v1
2018|6b|10093|5|ESCUELA MILLAHUE|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|1|1|28|26|27|221|222|204|2|10|3|-10|-4|-22|0|0|0|-1|0|-1|||||||60.7|21.4|17.9|50|42.3|7.7|0|20190628|final20190628v1
2018|6b|10095|1|ESCUELA IGNACIO CARRERA PINTO|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|18|15|18|190|202|204|-32|-18|-5|-48|-34|-33|-1|0|0|-1|-1|-1|||||||77.8|22.2|0|73.3|26.7|0|0|20190628|final20190628v1
2018|6b|10097|8|ESCUELA MARISCAL DE AYACUCHO|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|18|19|18|228|216|207|-2|-3|-30|-10|-20|-30|0|0|-1|-1|-1|-1|||||||55.6|27.8|16.7|63.2|26.3|10.5|0|20190628|final20190628v1
2018|6b|10098|6|ESCUELA PROVINCIA DE ARAUCO|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|21|19|19|212|202|219|-23|-31|-4|-26|-34|-18|-1|-1|0|-1|-1|-1|||||||66.7|28.6|4.8|68.4|31.6|0|0|20190628|final20190628v1
2018|6b|10099|4|ESCUELA GENERAL RENE ESCAURIAZA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|35|37|35|264|229|240|24|1|13|26|-7|3|1|0|0|1|0|0|||||||20|37.1|42.9|43.2|48.6|8.1|0|20190628|final20190628v1
2018|6b|10100|1|ESCUELA EL SALITRE|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|22|23|22|237|228|246|36|27|1|-1|-8|9|1|1|0|0|0|0|||||||45.5|36.4|18.2|47.8|43.5|8.7|0|20190628|final20190628v1
2018|6b|10102|8|ESCUELA ALBERT EINSTEIN|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|24|24|25|222|222|217|-25|-2|-2|-16|-14|-20|-1|0|0|-1|-1|-1|||||||58.3|25|16.7|54.2|41.7|4.2|0|20190628|final20190628v1
2018|6b|10103|6|ESCUELA SOR TERESA DE LOS ANDES|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|62|63|63|225|235|212|0|8|-1|-13|-1|-25|0|0|0|-1|0|-1|||||||59.7|25.8|14.5|52.4|41.3|6.3|0|20190628|final20190628v1
2018|6b|10104|4|ESCUELA MONSENOR CARLOS OVIEDO|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|35|36|35|236|248|249|-17|-10|9|-2|12|12|-1|0|0|0|1|1|||||||48.6|34.3|17.1|41.7|38.9|19.4|0|20190628|final20190628v1
2018|6b|10105|2|ESCUELA FEDERICO ACEVEDO SALAZAR|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|1|1|57|58|59|209|204|206|-3|-7|13|-22|-22|-20|0|0|0|-1|-1|-1|||||||71.9|15.8|12.3|77.6|22.4|0|0|20190628|final20190628v1
2018|6b|10106|0|ESCUELA POETA PABLO NERUDA|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|35|37|35|228|215|229|14|8|22|-10|-21|-8|1|0|1|-1|-1|0|||||||45.7|37.1|17.1|62.2|29.7|8.1|0|20190628|final20190628v1
