rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
38,2023,4b,255.0,253.0,Bajo,Rural,SLEP,81.0,77.0,69.0,82.0
38,2024,4b,286.0,273.0,Bajo,Rural,SLEP,76.0,76.0,72.0,79.0
38,2025,4b,256.0,263.0,Bajo,Rural,SLEP,88.0,89.0,95.0,79.0
39,2016,4b,188.0,221.0,Bajo,Rural,Municipal,66.0,72.0,59.0,64.0
39,2017,4b,230.0,225.0,Medio bajo,Rural,Municipal,72.1090331032835,66.69020212257205,59.29737935238408,74.8247286654925
39,2022,4b,216.0,219.0,Bajo,Rural,SLEP,78.0,75.0,71.0,86.0
39,2023,4b,224.0,235.0,Bajo,Rural,SLEP,85.0,76.0,69.0,89.0
39,2024,4b,241.0,267.0,Bajo,Rural,SLEP,81.0,74.0,70.0,84.0
39,2025,4b,249.0,245.0,Bajo,Rural,SLEP,78.0,70.0,83.0,71.0
41,2016,4b,247.0,200.0,Medio bajo,Rural,Municipal,72.0,74.0,56.0,73.0
41,2017,4b,264.0,278.0,Medio,Rural,Municipal,79.92412521788617,86.80802686011148,82.09076771068267,82.68300428417311
41,2022,4b,220.0,236.0,Medio bajo,Rural,SLEP,65.0,70.0,57.0,69.0
41,2023,4b,218.0,231.0,Bajo,Rural,SLEP,78.0,74.0,72.0,83.0
41,2024,4b,228.0,200.0,Bajo,Rural,SLEP,66.0,64.0,61.0,72.0
41,2025,4b,235.0,244.0,Bajo,Rural,SLEP,77.0,76.0,83.0,67.0
42,2016,4b,235.0,247.0,Medio alto,Rural,Municipal,85.0,85.0,78.0,87.0
42,2017,4b,238.0,305.0,Medio,Rural,Municipal,77.11390791628739,78.89731041017563,86.85557975830304,80.75397300508081
42,2023,4b,238.0,278.0,Medio alto,Rural,SLEP,76.0,83.0,71.0,87.0
42,2024,4b,234.0,249.0,Medio bajo,Rural,SLEP,85.0,75.0,75.0,82.0
42,2025,4b,240.0,234.0,Medio alto,Rural,SLEP,78.0,74.0,81.0,69.0
45,2016,4b,273.0,290.0,Medio,Urbano,Particular subvencionado,77.0,77.0,76.0,81.0
