rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
127,2016,2m,305.0,290.0,Medio alto,Urbano,Particular subvencionado,72.0,83.0,74.0,82.0
127,2017,2m,314.0,292.0,Medio alto,Urbano,Particular subvencionado,74.32130011861028,81.7930717752867,68.92421505591784,78.50956619282597
127,2018,2m,288.0,276.0,Medio alto,Urbano,Particular subvencionado,68.88766083,79.35805902,67.362906853,75.015588565
127,2022,2m,274.0,263.0,Medio alto,Urbano,Particular subvencionado,78.0,76.0,76.0,75.0
127,2023,2m,263.0,269.0,Medio,Urbano,Particular subvencionado,75.0,77.0,72.0,81.0
127,2024,2m,267.0,274.0,Medio alto,Urbano,Particular subvencionado,77.0,78.0,74.0,78.0
127,2025,2m,261.0,278.0,Medio alto,Urbano,Particular subvencionado,72.0,77.0,76.0,70.0
129,2016,2m,192.0,231.0,Medio bajo,Urbano,Particular subvencionado,76.0,71.0,67.0,75.0
129,2017,2m,211.0,228.0,Medio bajo,Urbano,Particular subvencionado,77.87180131140401,74.84783321889151,63.56534973224007,73.30131545198581
129,2018,2m,218.0,242.0,Medio,Urbano,Particular subvencionado,72.913779286,77.886499082,64.480426338,76.529747745
129,2022,2m,219.0,230.0,Medio bajo,Urbano,Particular subvencionado,73.0,82.0,72.0,82.0
129,2023,2m,241.0,240.0,Medio,Urbano,Particular subvencionado,73.0,83.0,73.0,81.0
129,2024,2m,218.0,227.0,Medio,Urbano,Particular subvencionado,72.0,80.0,76.0,81.0
129,2025,2m,211.0,232.0,Medio,Urbano,Particular subvencionado,79.0,80.0,83.0,73.0
130,2016,2m,288.0,286.0,Medio,Urbano,Particular subvencionado,76.0,71.0,58.0,56.0
130,2017,2m,278.0,252.0,Medio alto,Urbano,Particular subvencionado,74.57263303747199,76.97627941580146,63.01635292433017,74.37014281196781
130,2018,2m,253.0,248.0,Medio alto,Urbano,Particular subvencionado,68.218627366,63.295127444,59.633811663,59.068179002
130,2022,2m,272.0,259.0,Medio,Urbano,Particular subvencionado,76.0,80.0,67.0,76.0
130,2023,2m,280.0,272.0,Medio,Urbano,Particular subvencionado,75.0,76.0,69.0,76.0
130,2024,2m,303.0,283.0,Medio alto,Urbano,Particular subvencionado,76.0,79.0,74.0,78.0
130,2025,2m,280.0,265.0,Medio alto,Urbano,Particular subvencionado,70.0,72.0,72.0,67.0
131,2016,2m,247.0,237.0,Medio,Urbano,Particular subvencionado,75.0,72.0,71.0,71.0
131,2017,2m,229.0,243.0,Medio,Urbano,Particular subvencionado,75.53075865410402,76.81773503126364,73.62082839152187,74.94944555547026
131,2018,2m,237.0,250.0,Medio,Urbano,Particular subvencionado,69.294951387,73.197862731,74.541053827,71.382268593
131,2022,2m,231.0,244.0,Medio,Urbano,Particular subvencionado,71.0,77.0,65.0,70.0
131,2023,2m,208.0,242.0,Medio,Urbano,Particular subvencionado,64.0,62.0,61.0,59.0
131,2024,2m,227.0,246.0,Medio,Urbano,Particular subvencionado,75.0,75.0,68.0,74.0
131,2025,2m,230.0,252.0,Medio,Urbano,Particular subvencionado,66.0,71.0,70.0,71.0
132,2016,2m,329.0,284.0,Medio alto,Urbano,Particular subvencionado,76.0,73.0,66.0,77.0
132,2017,2m,331.0,284.0,Medio alto,Urbano,Particular subvencionado,72.31376852357019,70.9952059909856,67.76123642650145,74.5439305494649
132,2018,2m,322.0,279.0,Medio alto,Urbano,Particular subvencionado,69.957198786,68.907376585,68.645792484,70.068949766
132,2022,2m,267.0,251.0,Medio alto,Urbano,Particular subvencionado,70.0,69.0,64.0,70.0
132,2023,2m,286.0,265.0,Medio alto,Urbano,Particular subvencionado,71.0,74.0,64.0,75.0
132,2024,2m,297.0,268.0,Medio alto,Urbano,Particular subvencionado,74.0,74.0,65.0,76.0
132,2025,2m,287.0,271.0,Medio alto,Urbano,Particular subvencionado,76.0,74.0,75.0,66.0
